```csv
freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate_usd,rating,is_active,client_satisfaction
FL250001,Nicole Kidd,F,52,Italy,Italian,Blockchain Development,11,100,,0,
FL250002,Vanessa Garcia,F,52,Australia,English,Mobile Apps,34,100,3.3,1,84
FL250003,Juan Nelson,M,53,Germany,German,Graphic Design,31,50,0,0,71
FL250004,Amanda Spencer,F,38,Australia,English,Web Development,4,40,1.5,0,90
FL250005,Lynn Curtis DDS,F,53,Germany,German,Web Development,27,30,4.8,0,83
FL250006,Lisa Johnson,F,59,Netherlands,Dutch,AI,14,30,2.4,0,
FL250007,Eric Myers,M,52,Indonesia,Indonesian,Data Analysis,10,75,3.1,0,94
FL250008,Ricky Graham,M,43,Italy,Italian,Blockchain Development,14,40,4.6,0,94
FL250009,Sean Martin,M,26,United States,English,Blockchain Development,4,,,1,76
FL250010,Matthew Lloyd,M,52,Turkey,Turkish,AI,22,50,,1,
FL250011,Gavin Randall,M,40,United Kingdom,English,Data Analysis,17,40,3.6,1,77
FL250012,Michelle Curtis,F,55,Argentina,Spanish,UI/UX Design,15,,,1,86
FL250013,Alice Schneider,F,57,United Kingdom,English,Cybersecurity,18,,2,0,86
FL250014,Phillip Shelton,M,38,Argentina,Spanish,Graphic Design,20,75,2.9,1,93
FL250015,Edward Ferguson,M,50,Germany,German,Data Analysis,22,75,3.7,1,70
FL250016,Wyatt Stout,M,42,Japan,Japanese,Data Analysis,0,30,1.2,0,69
FL250017,Laura Johnson,F,39,Australia,English,DevOps,13,30,2.5,0,60
FL250018,Scott Burns,M,56,India,Hindi,Blockchain Development,,,,,87
FL250019,Tyler Aguirre,M,56,United States,English,UI/UX Design,31,50,1.1,0,75
FL250020,Matthew Lawson,M,57,Italy,Italian,Web Development,3,100,1.8,1,68
FL250021,James Cherry,M,,Indonesia,Indonesian,AI,9,50,1.8,0,65
FL250022,Samuel Sanford,M,51,Japan,Japanese,DevOps,,,2.4,0,69
FL250023,Cesar Greene,M,51,Brazil,Portuguese,Cybersecurity,21,30,4.7,0,
