```csv
freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate_USD,rating,is_active,client_satisfaction
FL250950,John Weaver,M,25,Brazil,Portuguese,DevOps,7,20,3.8,,97
FL250951,Bradley Harris,M,41,United Kingdom,English,DevOps,8,50,4.8,N,75
FL250952,Cassandra Macdonald,F,45,Mexico,Spanish,Data Analysis,6,40,2,Y,78
FL250953,Matthew White,M,47,Turkey,Turkish,DevOps,16,100,3.3,N,65
FL250954,Kimberly Marshall,F,59,United Kingdom,English,Data Analysis,40,40,2.5,Y,70
FL250955,Laura Thompson,F,25,Canada,English,Blockchain Development,6,100,,Y,78
FL250956,Nathan Soto,M,27,Australia,English,Web Development,3,50,,Y,96
FL250957,Rhonda Hines,F,57,Australia,English,AI,5,100,0,Y,80
FL250958,Gabrielle Bowman,F,34,Turkey,Turkish,UI/UX Design,12,20,1.6,Y,64
FL250959,Julian Edwards,M,55,France,French,UI/UX Design,33,50,0,N,92
FL250960,Nicholas Scott,M,21,Egypt,Arabic,Blockchain Development,1,100,0,Y,
FL250961,Daniel Green,M,53,Netherlands,Dutch,DevOps,27,20,4.7,Y,71
FL250962,Catherine Johnston,F,21,Germany,German,UI/UX Design,1,100,0,Y,95
FL250963,Brenda Koch,F,36,Brazil,Portuguese,Web Development,,20,4.1,N,86
FL250964,Robert Meza,M,40,Germany,German,AI,2,30,1.3,Y,77
FL250965,Latoya Brown,F,59,United Kingdom,English,UI/UX Design,40,100,2.6,,
FL250966,David Osborne,M,45,Netherlands,Dutch,Cybersecurity,4,20,2.7,,72
FL250967,David Hooper,M,44,South Korea,Korean,Machine Learning,9,40,,N,70
FL250968,Sarah Miller,F,36,United Kingdom,English,Cybersecurity,13,30,3.6,N,86
FL250969,Lisa Werner,F,26,India,Hindi,Graphic Design,1,75,3,Y,
FL250970,Eric Jimenez,M,49,India,Hindi,Web Development,1,,0,N,82
FL250971,Jay Bush,M,29,France,French,Mobile Apps,3,40,0,Y,81
FL250972,Johnny Rice,M,32,France,French,Graphic Design,1,40,3.1,Y,76
FL250973,Matthew Strong,M,24,Indonesia,Indonesian,Blockchain Development,3,30,3.9,N,90
FL250974,Mark Chandler,M,35,South Korea,Korean,DevOps,14,30,1.6,Y,67
FL250975,Crystal Brown,F,43,Spain,Spanish,Blockchain Development,2,,1.8,N,61
FL250976,Timothy Barton,M,53,South Korea,Korean,Machine Learning,27,100,3.7,N,73
FL250977,Lisa Hickman,F,38,Russia,Russian,DevOps,7,75,,N,
FL250978,Alan Mendoza,M,57,United Kingdom,English,Cybersecurity,29,75,4.1,N,90
FL250979,Jason Sanders,M,27,China,Mandarin,Blockchain Development,5,75,1.4,Y,64
FL250980,Charles Dean,M,43,Argentina,Spanish,Web Development,2,100,1.1,Y,63
FL250981,Blake Newton,M,48,Canada,English,Data Analysis,18,40,3.9,,
FL250982,David Gonzalez,M,26,Brazil,Portuguese,Cybersecurity,8,20,3.6,N,67
FL250983,Cindy Williams,F,,South Africa,Afrikaans,Graphic Design,0,40,0,N,97
FL250984,Laura Wong,F,50,Italy,Italian,Data Analysis,16,75,4.5,N,69
FL250985,Robert Moran,M,48,South Africa,Afrikaans,Web Development,8,50,,Y,73
FL250986,Bradley Wu,M,60,Spain,Spanish,Blockchain Development,39,20,1.4,Y,86
FL250987,Daniel Thomas,M,26,Egypt,Arabic,Machine Learning,,50,0,Y,81
FL250988,Michelle Peterson,F,35,South Korea,Korean,Graphic Design,16,100,4.3,Y,74
FL250989,Seth Thomas,M,23,United States,English,Blockchain Development,4,100,2.2,Y,64
FL250990,Evan Ramos,M,37,Australia,English,Graphic Design,4,75,3.2,N,76
FL250991,Michelle Solis,F,21,Argentina,Spanish,AI,2,100,3.7,Y,73
FL250992,Charlotte Taylor,F,58,Germany,German,UI/UX Design,37,50,4.9,N,69
FL250993,Sandra Preston,F,52,Indonesia,Indonesian,Mobile Apps,32,75,3.2,N,79
FL250994,Jim Weiss,M,46,Russia,Russian,Mobile Apps,8,20,2.2,,89
FL250995,Jennifer Hinton,F,34,South Africa,Afrikaans,DevOps,8,30,3.9,Y,95
FL250996,Albert Wilcox,M,56,Turkey,Turkish,DevOps,13,100,0,N,68
FL250997,Cheryl Norris,F,26,Germany,German,Blockchain Development,6,40,2.8,N,82
FL250998,Kathy Watkins,F,37,Japan,Japanese,Data Analysis,15,75,,N,94
FL250999,John Obrien,M,46,Russia,Russian,Machine Learning,22,100,2.8,Y,97
FL251000,Dawn Green,F,36,Mexico,Spanish,UI/UX Design,18,20,1.7,Y,72
```
