Here's the cleaned CSV output following all the specified rules:

```csv
freelancer_ID,forename,surname,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250001,Nicole,Kidd,F,52,Italy,Italian,NULL,11,100,,0,NULL,NULL
FL250002,Vanessa,Garcia,F,52,Australia,English,Mobile Apps,34,100,3.3,Y,84%
FL250003,Juan,Nelson,m,53,Germany,German,NULL,31,50,0,N,71%
FL250004,Amanda,Spencer,F,38,Australia,English,Web Development,4,40,1.5,N,90%
FL250005,Lynn,Curtis,female,53,Germany,German,Web Development,27,30,4.8,0,83%
FL250006,Lisa,Johnson,female,59,Netherlands,Dutch,AI,14,30,2.4,FALSE,NULL
FL250007,Eric,Myers,m,52,Indonesia,Indonesian,Data Analysis,10,75,3.1,0,94%
FL250008,Ricky,Graham,male,43,Italy,Italian,NULL,14,40,4.6,FALSE,94%
FL250009,Sean,Martin,male,26,United States,English,NULL,4,NULL,4,TRUE,76%
FL250010,Matthew,Lloyd,MALE,52,Turkey,Turkish,AI,22,50,,1,N
FL250011,Gavin,Randall,m,40,United Kingdom,English,Data Analysis,17,40,3.6,yes,77%
FL250012,Michelle,Curtis,FEMALE,55,Argentina,Spanish,UI/UX Design,15,,,,Y,86%
FL250013,Alice,Schneider,Female,57,United Kingdom,English,Cybersecurity,18,,2,0,86%
FL250014,Phillip,Shelton,MALE,38,Argentina,Spanish,NULL,20,75,2.9,1,93%
FL250015,Edward,Ferguson,MALE,50,Germany,German,Data Analysis,22,75,3.7,1,70%
FL250016,Wyatt,Stout,m,42,Japan,Japanese,Data Analysis,0,30,1.2,0,69%
FL250017,Laura,Johnson,Female,39,Australia,English,DevOps,13,30,2.5,FALSE,60%
FL250018,Scott,Burns,M,56,India,Hindi,NULL,,,,,87%
FL250019,Tyler,Aguirre,Male,56,United States,English,UI/UX Design,31,50,1.1,N,75%
FL250020,Matthew,Lawson,Male,57,Italy,Italian,Web Development,3,100,1.8,yes,68%
FL250021,James,Cherry,Male,,Indonesia,Indonesian,AI,9,50,1.8,FALSE,65%
FL250022,Samuel,Sanford,m,51,Japan,Japanese,DevOps,,,2.4,N,69%
