Here's the cleaned CSV output following all the specified rules:

```csv
freelancer_ID,forename,surname,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250499,Robin,Female,F,22,Russia,,UI/UX Design,3,100,3.6,Y,78
FL250500,Suzanne,Ingram,f,F,40,Egypt,Arabic,Web Development,11,20,1.8,Y,90
FL250501,Jacob,Mclaughlin,m,M,55,Australia,English,Data Analysis,7,100,2.1,N,66
FL250502,Michael,Nunez,M,M,32,Mexico,Spanish,DevOps,1,50,,1,N,70
FL250503,Isabel,Brown,FEMALE,F,21,,Japanese,UI/UX Design,0,30,4.2,Y,79
FL250504,Michael,Stein,M,M,23,South Korea,Korean,,Blockchain Development,1,,,0,N,64
FL250505,Robert,Stone,Male,M,21,United Kingdom,English,Mobile Apps,1,30,1,N,N,81
FL250506,Dillon,Henry,Male,M,31,Argentina,Spanish,Artificial Intelligence,7,75,4.4,0,83
FL250507,James,Todd,M,M,21,Mexico,Spanish,Blockchain Development,,40,4,0,91
FL250508,Clifford,Moore MD,male,M,33,United Kingdom,English,Cybersecurity,6,50,3.1,N,,64
FL250509,John,Rios,m,M,57,Brazil,,Web Development,5,75,1.1,Y,77
FL250510,Anthony,Gaines,m,M,52,United States,English,DevOps,17,75,0,0,94
FL250511,Kristi,Brown DVM,Female,F,21,Germany,German,Web Development,0,20,3.8,Y,61
FL250512,Ashley,Odonnell,FEMALE,F,36,Argentina,Spanish,UI/UX Design,8,100,1.7,N,68
FL250513,Ronald,Elliott,male,M,33,Spain,Spanish,Machine Learning,13,50,2.2,N,70
FL250514,Lorraine,Lowery,F,F,54,United Kingdom,English,Data Analysis,15,40,4.1,Y,71
FL250515,Victoria,Chapman,female,F,33,United States,English,Blockchain Development,2,100,3.8,FALSE,93
FL250516,Heather,Davis,female,F,36,Japan,Japanese,Machine Learning,9,30,0,Y,78
FL250517,Diana,Chase,FEMALE,F,36,Turkey,Turkish,Artificial Intelligence,3,50,0,N,75
FL250518,Danielle,Adkins,F,F,43,China,Mandarin,Artificial Intelligence,15,20,4.2,Y,91
FL250519,Kenneth,Arias,Male,M,52,United Kingdom,English,Data Analysis,21,75,2.2,Y,66
FL250520,Victoria,Owen,F,F,28,Indonesia,Indonesian,Cybersecurity,2,75,1.5,Y,68
FL250521,Christina,King,Female,F,47,China,Mandarin,Cybersecurity,21,100,0,N,98
FL250522,Samantha,King,female,F,30,France,French,DevOps,0,100,4.1,0,62
FL250523,Scott,Compton,m,M,36,Egypt,Arabic,Blockchain Development,4,40,2.6,N,90
FL250524,Monica,West,FEMALE,F,45,United States,English,UI/UX Design,23,100,2.4,FALSE,96
FL250525,Theresa,Stewart,F,F,51,United States,English,Blockchain Development,25,50,1.4,Y,60
FL250526,Steven,Kim,m,M,46,Turkey,Turkish,Mobile Apps,10,,4.6,Y,62
FL250527,Kristi,Knight,FEMALE,F,38,Italy,Italian,Data Analysis,18,40,4.9,FALSE,74
FL250528,Jason,Bryant,Male,M,26,Spain,Spanish,Blockchain Development,1,20,0,Y,88
FL250529,Maureen,Keith,Female,F,40,United Kingdom,English,DevOps,12,30,3.5,,98
FL250530,Shawn,Hogan,Male,M,37,Germany,German,Machine Learning,,,1.7,Y,63
FL250531,William,Davis,M,M,28,Canada,English,Blockchain Development,5,50,0,Y,96
FL250532,Stacy,Bailey,female,F,48,India,Hindi,Mobile Apps,28,20,0,0,88
FL250533,Thomas,Dixon,MALE,M,22,India,Hindi,Artificial Intelligence,0,,4.6,FALSE,98
FL250534,Maria,Hall,female,F,41,Germany,German,Web Development,14,40,1.1,Y,73
FL250535,Tony,Lee,MALE,M,38,United States,English,,15,,4.2,0,88
FL250536,Catherine,Mccoy MD,FEMALE,F,31,South Africa,Afrikaans,UI/UX Design,9,,0,FALSE,91
FL250537,Maria,Benitez,F,F,30,China,Mandarin,Mobile Apps,9,30,3.9,N,65
FL250538,Joshua,Chambers,MALE,M,51,Mexico,Spanish,UI/UX Design,22,20,3.4,Y,90
FL250539,Janice,Daniels,f,F,21,Germany,German,DevOps,0,20,2.6,N,72
FL250540,Carla,Wood,FEMALE,F,20,Italy,Italian,DevOps,1,40,2.3,Y,72
FL250541,Kenneth,Vasquez,Male,M,30,Japan,Japanese,Blockchain Development,5,30,4.8,N,91
FL250542,Kevin,Smith,MALE,M,41,China,Mandarin,Data Analysis,0,40,4.5,N,68
FL250543,Thomas,Kim,Male,M,22,Spain,Spanish,Blockchain Development,0,30,0,0,87
FL250544,Sean,Park,MALE,M,45,Mexico,Spanish,Cybersecurity,19,75,0,N,72
FL250545,Judith,Poole,Female,F,22,Australia,English,Data Analysis,2,40,1.1,N,76
FL250546,Melanie,Baird,f,F,20,Turkey,Turkish,Mobile Apps,0,100,0,0,63
FL250547,Erika,Mitchell,FEMALE,F,20,Canada,English,Data Analysis,2,40,,1,91
FL250548,Ricky,Martinez,M,M,21,United Kingdom,English,Artificial Intelligence,0,100,,0,73
FL250549,John,Christian,Male,M,22,Netherlands,Dutch,Cybersecurity,1,40,0,0,63
FL250550,Nancy,Smith,F,F,28,United Kingdom,English,DevOps,3,20,,1,79
FL250551,Cassandra,Stephens,F,F,59,Argentina,Spanish,Artificial Intelligence,,20,4.1,0,75
FL250552,Miss Janet Donovan MD,female,F,28,France,French,Web Development,1,,0,0,70
FL250553,Kristina,Williams,F,F,40,Australia,English,DevOps,0,100,1.2,,87
FL250554,Wayne,Barnes,M,M,57,Italy,Italian,Blockchain Development,7,30,1.6,N,78
FL250555,James,Hinton,MALE,M,47,Turkey,Turkish,DevOps,1,50,3.9,Y,88
FL250556,David,Spence,male,M,48,South Korea,Korean,Cybersecurity,21,40,0,Y,65
FL250557,Tyler,Cooper,Male,M,28,United States,English,UI/UX Design,1,20,4.7,FALSE,93
FL250558,Sean,Martinez,M,M,41,Turkey,Turkish,,15,,3.8,1,90
FL250559,Janet,Barron,f,F,57,South Africa,Afrikaans,Cybersecurity,33,100,3.5,N,74
FL250560,Rodney,Wilson,male,M,60,Argentina,Spanish,Graphic Design,39,75,4,,70
FL250561,Kimberly,Fitzgerald,female,F,48,Egypt,Arabic,Graphic Design,21,30,1.6,Y,67
FL250562,Nicole,Davis,Female,F,24,France,French,Cybersecurity,5,40,3,N,86
FL250563,Elizabeth,Hayes,FEMALE,F,33,Mexico,Spanish,DevOps,11,50,5,Y,69
FL250564,Kathy,Faulkner,FEMALE,F,20,Turkey,Turkish,Graphic Design,0,30,4.8,Y,68
FL250565,John,Gonzales,MALE,M,59,United Kingdom,English,DevOps,15,50,,N,97
FL250566,Shannon,Luna,female,F,42,China,Mandarin,DevOps,22,,2.9,0,61
FL250567,Stephanie,Burton,FEMALE,F,22,Turkey,Turkish,UI/UX Design,3,,3,Y,96
FL250568,Kevin,Gonzales,M,M,41,Canada,English,Cybersecurity,11,50,3.5,Y,68
FL250569,Dawn,Hardy,Female,F,25,Argentina,Spanish,Web Development,5,40,,Y,75
FL250570,Margaret,Perkins,f,F,38,Canada,English,UI/UX Design,3,40,4.7,0,69
FL250571,Amanda,Vargas,female,F,43,United States,English,DevOps,1,,2.9,N,78
FL250572,Tonya,Gonzalez,F,F,54,Mexico,Spanish,Artificial Intelligence,1,75,4.4,Y,91
FL250573,Elizabeth,Bowman,F,F,31,Indonesia,Indonesian,Mobile Apps,2,40,2.3,N,98
FL250574,Ariana,Pittman,f,F,56,Mexico,Spanish,Artificial Intelligence,3,30,3.7,,83
FL250575,Antonio,Johnson,MALE,M,46,Mexico,Spanish,Graphic Design,11,,1.8,Y,91
FL250576,Justin,Lang,Male,M,60,Egypt,Arabic,Artificial Intelligence,,100,0,Y,96
FL250577,Kelli,Ramirez,F,F,28,South Korea,Korean,Graphic Design,2,50,,1,85
FL250578,Deborah,Torres,F,F,43,Indonesia,Indonesian,Web Development,20,30,2.7,FALSE,72
FL250579,Joseph,Horn,MALE,M,41,France,French,Web Development,11,20,4.7,,69
FL250580,Christopher,Robinson,male,M,41,United Kingdom,English,DevOps,0,20,3.1,0,90
FL250581,Sandra,Mccormick,F,F,40,United Kingdom,English,Mobile Apps,20,20,2.3,0,92
FL250582,Michael,Holland,Male,M,45,Germany,German,DevOps,3,20,1.3,Y,91
FL250583,Kenneth,Stevenson,MALE,M,47,Egypt,Arabic,DevOps,28,50,2.9,Y,97
FL250584,Timothy,Bennett,m,M,34,India,Hindi,Data Analysis,0,40,3.3,0,98
FL250585,Gregory,Randall,M,M,47,United States,English,UI/UX Design,4,20,4.2,,82
FL250586,Charles,Martinez,M,M,32,Mexico,Spanish,UI/UX Design,9,40,1.3,Y,83
FL250587,James,Hall,M,M,28,United Kingdom,English,Mobile Apps,2,100,4.4,Y,97
FL250588,Michael,Garcia,m,M,32,Australia,English,DevOps,1,100,3.4,Y,98
FL250589,Michele,Duran,F,F,49,Netherlands,Dutch,Artificial Intelligence,2,100,3.4,Y,85
FL250590,Jessica,Gray,f,F,36,Argentina,Spanish,Mobile Apps,16,20,3.2,,68
FL250591,Keith,Shaffer,M,M,59,Mexico,Spanish,Blockchain Development,22,20,3.6,N,63
